Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"4/01/24, 19:08:17",0221390035,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26230' viewed the course with id '3330'.,web,10.167.1.111
"4/01/24, 17:16:56",0221276350,-,Assignment: Homework Assignment 4,Assignment,The status of the submission has been viewed.,The user with id '26227' has viewed the submission status page for the assignment with course module id '333136'.,web,10.167.33.148
"4/01/24, 17:16:56",0221276350,-,Assignment: Homework Assignment 4,Assignment,Feedback viewed,The user with id '26227' viewed the feedback for the user with id '26227' for the assignment with course module id '333136'.,web,10.167.33.148
"4/01/24, 17:16:56",0221276350,-,Assignment: Homework Assignment 4,Assignment,Course module viewed,The user with id '26227' viewed the 'assign' activity with course module id '333136'.,web,10.167.33.148
"4/01/24, 17:16:51",0221276350,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26227' viewed the course with id '3330'.,web,10.167.33.148
"4/01/24, 16:36:23",0221973140,-,File: How to get started,File,Course module viewed,The user with id '26450' viewed the 'resource' activity with course module id '317917'.,ws,78.141.159.87
"4/01/24, 16:36:20",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '1' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:20",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:19",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '1' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:19",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '2' of the course with id '3330'.,ws,78.141.159.87
"4/01/24, 16:36:19",0221973140,-,Course: F1_BAINFOR-17 Programming Fundamentals 3,System,Course viewed,The user with id '26450' viewed the section number '3' of the course with id '3330'.,ws,78.141.159.87
