Unnamed: 0,0000000000,Student ID,Session 19/02/2024,Session 26/02/2024,Session 04/03/2024,Session 11/03/2024,Session 18/03/2024,Session 25/03/2024,sessionsAttended,attendancePercentage
0,0,021145823F,P,P,P,P,P,A,5,83.33333333333334
1,1,021153080D,P,P,P,A,P,A,4,66.66666666666666
2,2,021155815C,P,P,P,P,A,P,5,83.33333333333334
3,3,0210110646,P,P,A,A,P,P,4,66.66666666666666
4,4,0211546145,A,P,P,A,A,A,2,33.33333333333333
5,5,0210110444,P,P,P,P,P,A,5,83.33333333333334
6,6,021154835B,A,P,P,A,A,A,2,33.33333333333333
7,7,020148774A,A,P,P,A,P,A,3,50.0
8,8,021137093F,A,A,A,A,P,A,1,16.666666666666664
9,9,021006922C,A,P,P,P,P,A,4,66.66666666666666
10,10,0211109443,P,P,P,A,A,A,3,50.0
11,11,0211442503,A,P,P,A,A,A,2,33.33333333333333
12,12,0200186138,A,A,A,P,A,A,1,16.666666666666664
13,13,0200838753,A,A,A,A,A,A,0,0.0
14,14,023111691F,A,A,P,A,A,A,1,16.666666666666664
15,15,0210268500,P,A,P,A,A,A,2,33.33333333333333
16,16,0201395418,A,P,A,A,A,A,1,16.666666666666664
17,17,0210490455,A,P,A,A,A,A,1,16.666666666666664
18,18,0232625956,A,P,A,A,A,A,1,16.666666666666664
19,19,0210208650,P,A,A,A,A,A,1,16.666666666666664
20,20,0211428539,A,A,A,A,A,A,0,0.0
