Unnamed: 0,0000000000,Student ID,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023,sessionsAttended,attendancePercentage
0,0,0200838753,P,P,P,P,P,P,A,P,P,A,P,A,A,A,9,69.23076923076923
1,1,0210424407,P,P,A,P,P,A,P,P,A,P,P,A,A,A,8,61.53846153846154
2,2,0180986012,A,P,P,P,P,P,A,P,P,P,P,A,A,A,9,69.23076923076923
3,3,021060141F,P,A,P,A,P,P,A,P,P,P,P,A,A,A,8,61.53846153846154
4,4,0211109443,P,A,A,A,A,A,P,P,A,A,P,A,A,A,4,30.76923076923077
5,5,023111691F,A,A,A,P,P,P,P,P,P,P,P,A,A,A,8,61.53846153846154
6,6,0211442503,P,P,P,P,P,A,P,P,P,P,A,P,A,A,10,76.92307692307693
7,7,021152110D,A,P,P,P,P,P,P,P,A,A,P,A,A,A,8,61.53846153846154
8,8,0211428539,P,P,A,A,P,P,P,P,P,P,A,A,A,A,8,61.53846153846154
9,9,0210192813,P,P,P,P,P,P,P,P,P,P,P,A,A,A,11,84.61538461538461
10,10,021153080D,P,P,A,A,P,P,P,P,A,P,P,A,A,A,8,61.53846153846154
11,11,0191241128,P,A,P,P,P,P,P,P,P,P,P,A,A,A,10,76.92307692307693
12,12,0211546145,P,P,P,P,P,P,P,P,P,P,A,A,A,A,10,76.92307692307693
13,13,0210110646,P,P,A,P,P,P,P,P,P,P,P,A,A,A,10,76.92307692307693
14,14,0210110444,P,P,P,P,P,P,P,P,P,P,P,A,P,A,12,92.3076923076923
15,15,0210857849,P,A,P,A,A,P,P,P,A,P,A,A,A,A,6,46.15384615384615
16,16,0210208650,P,P,P,P,P,P,P,P,P,P,P,A,A,A,11,84.61538461538461
17,17,021155815C,A,P,P,A,P,P,A,P,A,P,P,P,A,A,8,61.53846153846154
18,18,021006922C,P,P,P,A,P,P,P,P,P,P,P,A,A,A,10,76.92307692307693
19,19,0210242822,A,A,P,P,A,P,A,P,P,A,P,A,A,A,6,46.15384615384615
20,20,021145823F,P,P,P,A,P,P,P,P,P,P,P,A,A,A,10,76.92307692307693
21,21,021137093F,P,P,P,P,P,P,P,P,A,P,P,A,A,A,10,76.92307692307693
22,22,0210268500,P,P,P,A,A,P,P,P,P,A,P,P,A,A,9,69.23076923076923
23,23,021137204A,A,P,P,A,P,P,A,P,A,P,A,A,A,A,6,46.15384615384615
24,24,021154835B,A,P,P,P,P,A,P,P,A,P,P,A,A,A,8,61.53846153846154
25,25,0190546851,A,A,A,A,A,A,A,A,A,P,A,A,A,A,1,7.6923076923076925
26,26,0210490455,P,A,P,P,A,P,P,A,P,A,A,A,A,A,6,46.15384615384615
