Unnamed: 0,0000000000,Student ID,28 Sep 2023 10.30AM All students,Unnamed: 2,5 Oct 2023 10.30AM All students,Unnamed: 4,12 Oct 2023 10.30AM All students,Unnamed: 6,19 Oct 2023 10.30AM All students,Unnamed: 8,sessionsAttended,attendancePercentage
0,0,211509258,,,,,P,,,,1,12.5
1,1,022012490c,,,,,P,,P,,2,25.0
2,2,232486734,P,P,P,,P,P,P,P,7,87.5
3,3,022043375d,P,,,P,P,,,P,4,50.0
4,4,221973140,,P,P,P,P,P,,P,6,75.0
5,5,022142822f,P,P,P,,,P,,P,5,62.5
6,6,221908904,P,,,P,P,,P,P,5,62.5
7,7,180632649,,,,,,,,,0,0.0
8,8,221541510,P,,P,,P,P,,,4,50.0
9,9,230669412,P,,P,P,P,P,,P,6,75.0
10,10,221286252,,P,P,P,P,,,P,5,62.5
11,11,221586049,P,P,P,P,P,P,,P,7,87.5
12,12,191621038,,,,,,,,,0,0.0
13,13,221705608,P,,P,P,,P,P,P,6,75.0
14,14,021154835b,,,,,,,,,0,0.0
15,15,020074782f,P,,,,P,P,P,,4,50.0
16,16,222005803,,,,,,,,,0,0.0
17,17,220415205,,,,,,,,,0,0.0
18,18,220502202,P,,,,P,,,P,3,37.5
19,19,021137204a,,,,,,,,,0,0.0
20,20,211277704,,,,,P,P,,P,3,37.5
21,21,022158614a,P,P,P,P,P,P,P,P,8,100.0
22,22,221823214,P,,,,P,,,P,3,37.5
23,23,221943339,P,P,P,P,P,P,P,P,8,100.0
24,24,022041284e,P,,,,P,P,P,P,5,62.5
25,25,222086421,P,P,P,P,P,P,P,P,8,100.0
26,26,022012681f,P,P,P,P,P,P,P,P,8,100.0
27,27,210242822,,,,,,,,,0,0.0
28,28,021006942e,,,,,,,,,0,0.0
29,29,022148763b,,P,P,,P,,,,3,37.5
30,30,221986060,,,,P,P,P,P,P,5,62.5
31,31,022197615e,,,P,,P,,,,2,25.0
32,32,022191755a,,,P,,P,P,P,P,5,62.5
33,33,222056418,P,,P,P,P,,P,P,6,75.0
34,34,022112732d,P,,,,P,,,,2,25.0
35,35,022173540f,P,,,,P,P,,P,4,50.0
36,36,023248105c,P,P,P,P,,P,P,P,7,87.5
37,37,022122100c,,P,P,P,P,,,,4,50.0
38,38,220389426,,,,,,,,,0,0.0
39,39,023252482d,,,,,,,,,0,0.0
40,40,232479850,P,P,P,P,,P,P,P,7,87.5
41,41,221666404,,,,,,,,,0,0.0
42,42,221858451,,,,,P,P,,,2,25.0
43,43,220291820,P,P,P,P,P,,P,P,7,87.5
44,44,022188714d,P,,P,P,P,,P,P,6,75.0
45,45,221929813,,,P,,,,,P,2,25.0
46,46,022200811a,P,,,,,P,,P,3,37.5
47,47,221276350,P,,,P,P,P,P,P,6,75.0
48,48,221390035,P,P,P,P,P,P,P,P,8,100.0
49,49,221081548,,P,P,,P,,P,P,5,62.5
50,50,023111691f,P,P,,,,P,,P,4,50.0
51,51,022029815f,P,P,P,P,P,P,P,P,8,100.0
52,52,220224526,,P,P,P,P,P,P,P,7,87.5
53,53,232528350,P,P,P,P,P,,,P,6,75.0
54,54,221933134,P,P,P,P,P,,P,P,7,87.5
55,55,220619006,P,,,,P,P,P,P,5,62.5
