Unnamed: 0,0000000000,Student ID,21 Sep 2023 10.30AM All students,28 Sep 2023 10.30AM All students,5 Oct 2023 10.30AM All students,12 Oct 2023 10.30AM All students,19 Oct 2023 10.30AM All students,26 Oct 2023 10.30AM All students,2 Nov 2023 10.30AM All students,9 Nov 2023 10.30AM All students,16 Nov 2023 10.30AM All students,23 Nov 2023 10.30AM All students,Unnamed: 20,30 Nov 2023 10.30AM All students,Unnamed: 22,7 Dec 2023 10.30AM All students,14 Dec 2023 10.30AM All students,Unnamed: 26,P,L,E,A,Taken sessions,Points,Percentage,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
1,1,019153604f,A,A,?,?,?,?,?,?,?,?,,A,This student does not appear on the printed out list of participants,?,?,,0.0,0.0,0.0,3.0,3.0,0 / 6,0.0,0,0.0,ABS_EXAM_JUST,,,,,,,ABS_EXAM,,,,,ABS_EXAM,ABS_EXAM,,,ABS_EXAM,,,ABS_EXAM,,,,,,,,ABS_EXAM,,,,,,ABS_EXAM,
3,3,022012490c,P,P,A,P,P,P,P,P,A,A,,P,,P,P,,10.0,0.0,0.0,3.0,13.0,20 / 26,76.9,10,76.92307692307693,12.4,,,,15.5,,,,,,,10.5,,14,,,,,8.5,,,,,12.2,,14,,,,,,,,,
6,6,022043375d,P,P,P,P,P,P,P,A,A,A,,A,,A,A,,7.0,0.0,0.0,6.0,13.0,14 / 26,53.8,7,53.84615384615385,13.2,,,,19,,,,,,,15,,10,,,,,,,,,,8,,10,,,,,7,,,,
8,8,022142822f,P,P,P,P,P,P,P,P,P,P,,A,,P,?,,11.0,0.0,0.0,1.0,12.0,22 / 24,91.7,11,84.61538461538461,14,,,,19.5,,,,,,,12.5,,12,,,,,,,,,,15.5,,12,,,,,,,,,
17,17,021154835b,A,A,A,A,A,A,A,A,A,A,,A,,A,A,,0.0,0.0,0.0,13.0,13.0,0 / 26,0.0,0,0.0,,8,,,,16.5,,ABS_EXAM,,ABS_EXAM,,,9,10,,,6.9,8,,14.2,,,,7.5,,9,,6.5,,,,,,15,
18,18,020074782f,P,P,P,P,A,A,A,A,A,A,,A,,A,A,,4.0,0.0,0.0,9.0,13.0,8 / 26,30.8,4,30.76923076923077,,,,,,,,,,,,6,,6,,,,,,,,,,ABS_EXAM,,13,,,,,,,,,
21,21,021137204a,A,A,A,A,A,A,A,A,A,A,,A,,A,A,,0.0,0.0,0.0,13.0,13.0,0 / 26,0.0,0,0.0,3.2,10,,,0,,,,,8.7,,ABS_EXAM,8.5,7,,,6.5,6,4,16.2,,,,10,,5,,ABS_EXAM,,,4,,,3.3,
24,24,022158614a,P,P,P,A,A,A,P,P,A,A,,A,,A,P,,6.0,0.0,0.0,7.0,13.0,12 / 26,46.2,6,46.15384615384615,12.9,,,,18.5,,,,,,,14.5,,13,,,,,,,,,,8,,12,,,,,6,,,,
27,27,022041284e,P,P,P,A,A,P,P,P,A,A,,A,,P,P,,8.0,0.0,0.0,5.0,13.0,16 / 26,61.5,8,61.53846153846154,15.1,,,,19,,,,,,13.8,14.5,,16,,,,,,,,,,8,,12,,,,,,,,,
30,30,022012681f,P,P,P,P,P,P,P,P,P,P,,A,,P,A,,11.0,0.0,0.0,2.0,13.0,22 / 26,84.6,11,84.61538461538461,13.6,,,,17.5,,,,,,,12.5,,12,,,,,,,,,,13.3,,12,,,,,,,,,
33,33,022148763b,P,P,P,P,A,A,A,P,?,P,,A,,A,A,,6.0,0.0,0.0,6.0,12.0,12 / 24,50.0,6,46.15384615384615,11.6,,,,8.5,,,,,,,ABS_EXAM,,13,,,,,,,,,,10,,9,,,,,,,,,
35,35,022197615e,P,P,A,A,A,A,A,A,A,A,,P,,P,P,,5.0,0.0,0.0,8.0,13.0,10 / 26,38.5,5,38.46153846153847,10,,,,19,,,,,11.8,,ABS_EXAM,,13,,,,,,,,,,12.5,,11,,,,,ABS_EXAM,,,,
36,36,021157745b,P,P,P,P,P,P,P,P,A,P,,P,,P,P,,12.0,0.0,0.0,1.0,13.0,24 / 26,92.3,12,92.3076923076923,,6.3,,,,,,,,,,,,7,,,,,,,,,,6.1,,,,,,,3,,,,
37,37,022191755a,P,P,P,P,P,P,P,A,P,?,,A,,A,A,,8.0,0.0,0.0,4.0,12.0,16 / 24,66.7,8,61.53846153846154,14.7,,,,18,,,,,,,15.5,,15,,,,,,,,,,14.9,,13,,,,,,,,,
39,39,022112732d,P,P,P,P,P,A,P,P,A,A,,A,,A,A,,7.0,0.0,0.0,6.0,13.0,14 / 26,53.8,7,53.84615384615385,11.2,,,,0,,,,,,,10,,15,,,,,,,,,,8,,9,,,,,,,,,
40,40,022173540f,P,P,P,P,P,P,P,A,A,A,,A,,A,A,,7.0,0.0,0.0,6.0,13.0,14 / 26,53.8,7,53.84615384615385,16,,,,17.5,,,,,,,15.5,,13,,,,,,,,,,8,,11,,,,,,,,,
41,41,022122100c,P,P,P,A,P,A,A,P,A,A,,P,,A,A,,6.0,0.0,0.0,7.0,13.0,12 / 26,46.2,6,46.15384615384615,12.2,,,,17.5,,,,,,,11.5,,10,,,,,,,,,,8,,12,,,,,,,,,
46,46,020176934d,A,P,P,A,A,A,A,A,A,A,,A,,A,A,,2.0,0.0,0.0,11.0,13.0,4 / 26,15.4,2,15.384615384615383,,,,,,,,,,,,,,1,ABS_EXAM,,,,,,,,,ABS_EXAM,,,,,,,,,,,
47,47,022188714d,P,P,P,P,P,P,A,P,A,P,,P,,P,A,,10.0,0.0,0.0,3.0,13.0,20 / 26,76.9,10,76.92307692307693,,,,,19.5,,,,,,,,,16,,,,,,,,,,12.3,,12,,,,,,,,,
53,53,022029815f,P,P,P,P,P,P,P,P,A,P,,A,,?,P,,10.0,0.0,0.0,2.0,12.0,20 / 24,83.3,10,76.92307692307693,18.6,,,,19.5,,,,,,,20,,20,,,,,,,,,,19.2,,20,,,,,,,,,
