Unnamed: 0,0000000000,Student ID,Session 19/09/2023,Session 26/09/2023,Session 03/10/2023,Session 10/10/2023,Session 17/10/2023,Session 24/10/2023,Session 31/10/2023,Session 07/11/2023,Session 14/11/2023,Session 21/11/2023,Session 28/11/2023,Session 05/12/2023,Session 12/12/2023,Session 19/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
0,0,021137093F,P,P,P,A,A,P,P,A,P,A,A,A,A,A,6,42.85714285714285,,,,,,13.5,,11,,,,,11.9,,,,16.1,,,17.8,,,,,,,,14,,,,,,17.3,
1,1,0210268500,A,A,A,P,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,,,,,17.5,,,,,,,15.6,,,,17.9,,,19,,,,,,,,14,,,,,,18.7,
2,2,0210110444,P,P,P,P,A,P,P,A,A,P,A,A,A,A,7,50.0,,,,,,19,,19,,,,,17.7,,,,19,,,19.4,,,,,,,,10,,,,,,18.7,
3,3,0210424407,P,A,P,P,A,A,A,A,A,A,A,A,A,A,3,21.428571428571427,,,,,,16,,,,,,12.5,11.6,,,,7.7,,,17.2,,,,7.9,,,,0,,,,,,15,
4,4,021155815C,P,A,A,P,A,P,A,A,A,A,A,A,A,A,3,21.428571428571427,,,,,,19,,13,,,,,14.5,,,,17.3,,,16.8,,,,,,,,6.5,,,,,,17.3,
5,5,0211109443,A,A,A,A,A,A,A,A,A,P,A,A,A,A,1,7.142857142857142,,,,,,19,,,,,,,15.1,,,,8.6,,ABS_EXAM,18.2,,,,,,,,12,,,,,,16.1,
6,6,0210242822,A,A,A,P,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,,,,,,16,,ABS_EXAM,,,,,13.4,8,,,,,,16.2,,,3.1,,,5,,ABS_EXAM,,,,,,11.1,
7,7,0210208650,P,P,A,A,A,A,A,P,A,A,A,A,A,A,3,21.428571428571427,,,,,,19,,18,,,,,11.1,,,,13.2,,,17.8,,,,,,,,18,,,,,,18,
8,8,021060141F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,,,,,16.5,,,,,,,15.2,,,,14.4,,,17.8,,,,,,,,ABS_EXAM,,,,,,16.3,
9,9,0211442503,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,,,,,17,,,,,,,15.4,,,,13.7,,,16.7,,,,,,,,4,,,,,,14.7,
10,10,0191241128,A,P,A,A,A,P,A,A,A,P,A,A,A,P,4,28.57142857142857,,,,,,14.5,,4,,,,,12.7,,,15.5,,,,15.8,,,,,,,12,0.5,15.8,,,ABS_EXAM,,3.3,
