Unnamed: 0,0000000000,Student ID,Session 20/09/2023,Session 27/09/2023,Session 04/10/2023,Session 11/10/2023,Session 18/10/2023,Session 25/10/2023,Session 01/11/2023,Session 08/11/2023,Session 15/11/2023,Session 22/11/2023,Session 29/11/2023,Session 06/12/2023,Session 13/12/2023,Session 20/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
0,0,0210490455,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,11.11111111111111,,,,,0,,,ABS_EXAM,,,,,17.4,,,,12.2,,,10,,,,,,,,ABS_EXAM,,,,,,14.2,
1,1,020148774A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,,,,,,,8,,,,,,,,,11.7,,,,,ABS_EXAM,,,,,ABS_EXAM,,13.5,,,,,,
2,2,021137093F,P,A,P,A,A,A,A,A,A,A,A,A,P,A,3,33.33333333333333,,,,,,13.5,,11,,,,,11.9,,,,16.1,,,17.8,,,,,,,,14,,,,,,17.3,
3,3,0210110444,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,11.11111111111111,,,,,,19,,19,,,,,17.7,,,,19,,,19.4,,,,,,,,10,,,,,,18.7,
4,4,0180986012,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,,,,,,11.5,10,missing,,,,,,,,14.2,,,18.4,ABS_EXAM,,,ABS_EXAM,,,missing,14.5,,ABS_EXAM_JUST,,,,,
5,5,0211442503,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,11.11111111111111,,,,,,17,,,,,,,15.4,,,,13.7,,,16.7,,,,,,,,4,,,,,,14.7,
6,6,021145823F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,,,,,16.5,,,,,,,11.1,,,,ABS_EXAM_JUST,,,20,,,,,,,,7.5,,,,,,15.9,
7,7,021153080D,A,A,A,A,A,A,A,A,A,A,A,A,P,A,1,11.11111111111111,,,,,,18.5,,6,,,,,13.2,,,,17.6,,10.5,17,,,,,,,,10,,,,,,15.7,
8,8,0211546145,A,A,A,A,A,A,A,A,A,A,A,A,P,A,1,11.11111111111111,,,,,,14,,10,,,,,17.7,,,,15.1,,,17.6,,,,,,,,ABS_EXAM,,,,,,16.3,
9,9,0200838753,A,A,A,A,A,A,A,A,A,A,A,A,A,A,0,0.0,,,,,,,,6 *,,,,,8.9,,,,6.6,,,14.4,,,10,7.7,ABS_EXAM,,,ABS_EXAM,,,,8,,13.9,
