Unnamed: 0,0000000000,Student ID,Session 21/09/2023,Session 28/09/2023,Session 05/10/2023,Session 12/10/2023,Session 19/10/2023,Session 26/10/2023,Session 02/11/2023,Session 09/11/2023,Session 16/11/2023,Session 23/11/2023,Session 30/11/2023,Session 07/12/2023,Session 14/12/2023,Session 21/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
0,0,0210192813,P,A,P,A,P,P,P,A,A,A,A,A,A,A,5,45.45454545454545,,,,,,20,,,,,,,17.3,,,,16.3,,,19.2,,,,,,,,17.5,,,,,,17.3,
1,1,0210424407,P,A,P,A,A,A,P,P,A,A,A,A,A,A,4,36.36363636363637,,,,,,16,,,,,,12.5,11.6,,,,7.7,,,17.2,,,,7.9,,,,0,,,,,,15,
2,2,021145823f,P,A,P,A,P,A,A,P,P,P,A,A,A,A,6,54.54545454545454,,,,,,16.5,,,,,,,11.1,,,,ABS_EXAM_JUST,,,20,,,,,,,,7.5,,,,,,15.9,
3,3,021155815c,P,A,A,A,A,P,P,A,A,A,P,A,A,A,4,36.36363636363637,,,,,,19,,13,,,,,14.5,,,,17.3,,,16.8,,,,,,,,6.5,,,,,,17.3,
4,4,0211109443,P,A,A,A,A,A,P,A,A,A,A,A,A,A,2,18.181818181818183,,,,,,19,,,,,,,15.1,,,,8.6,,ABS_EXAM,18.2,,,,,,,,12,,,,,,16.1,
5,5,0211442503,P,A,P,P,P,A,P,A,A,A,A,A,A,A,5,45.45454545454545,,,,,,17,,,,,,,15.4,,,,13.7,,,16.7,,,,,,,,4,,,,,,14.7,
6,6,021153080d,P,A,A,A,A,A,P,A,A,A,A,A,A,A,2,18.181818181818183,,,,,,18.5,,6,,,,,13.2,,,,17.6,,10.5,17,,,,,,,,10,,,,,,15.7,
7,7,0200838753,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,9.090909090909092,,,,,,,,6 *,,,,,8.9,,,,6.6,,,14.4,,,10,7.7,ABS_EXAM,,,ABS_EXAM,,,,8,,13.9,
8,8,0210268500,P,A,P,A,A,A,P,A,P,A,A,A,A,A,4,36.36363636363637,,,,,,17.5,,,,,,,15.6,,,,17.9,,,19,,,,,,,,14,,,,,,18.7,
9,9,0211428539,P,A,A,A,A,A,P,A,A,A,A,A,P,A,3,27.27272727272727,,,,,,16.5,,ABS_EXAM,,,,,8,12,,,15.4,,,15.4,,,,,,,,ABS_EXAM,,,,,,17.3,
10,10,0211546145,P,A,A,A,A,A,P,A,A,A,A,A,A,A,2,18.181818181818183,,,,,,14,,10,,,,,17.7,,,,15.1,,,17.6,,,,,,,,ABS_EXAM,,,,,,16.3,
11,11,021137093f,P,A,P,A,A,A,P,A,A,P,A,A,A,A,4,36.36363636363637,,,,,,13.5,,11,,,,,11.9,,,,16.1,,,17.8,,,,,,,,14,,,,,,17.3,
12,12,021060141f,P,A,P,A,A,A,A,A,A,A,A,A,A,A,2,18.181818181818183,,,,,,16.5,,,,,,,15.2,,,,14.4,,,17.8,,,,,,,,ABS_EXAM,,,,,,16.3,
13,13,021152110d,P,A,P,A,A,A,A,A,A,A,P,A,A,A,3,27.27272727272727,,0,,,,18,,,,,,,13.5,,,,13.2,,,16.6,,,,,,,,ABS_EXAM,,,,,,16.3,
