Unnamed: 0,0000000000,Student ID,Session 20/09/2023,Session 27/09/2023,Session 04/10/2023,Session 11/10/2023,Session 18/10/2023,Session 25/10/2023,Session 01/11/2023,Session 08/11/2023,Session 15/11/2023,Session 22/11/2023,Session 29/11/2023,Session 06/12/2023,Session 13/12/2023,Session 20/12/2023,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
0,0,0221390035,P,P,A,A,P,P,A,A,A,A,P,P,A,A,6,42.85714285714285,17.2,,,,20,,,,,,,19,,19,,,,,,,,,,17.2,,18,,,,,,,,,
1,1,0221276350,P,P,A,A,P,A,A,A,P,A,A,A,A,A,4,28.57142857142857,16.3,,,,20,,,,,,,15,,14,,,,,,,,,,13.3,,14,,,,,,,,,
2,2,0221973140,P,P,A,P,P,P,A,A,A,A,P,P,A,A,7,50.0,11.8,,,,12.5,,,,,12,,14,,9,,,,,9,,,,,10,,6,,,,,,,,,
3,3,022191755A,P,P,A,A,P,A,A,A,A,A,A,A,A,A,3,21.428571428571427,14.7,,,,18,,,,,,,15.5,,15,,,,,,,,,,14.9,,13,,,,,,,,,
4,4,0221943339,P,P,A,P,A,A,A,A,A,P,P,P,P,A,7,50.0,17.3,,,,18.5,,,,,,,12,,16,,,,,,,,,,15.8,,15,,,,,,,,,
5,5,0221705608,P,A,A,P,P,P,P,P,A,P,P,A,A,P,9,64.28571428571429,17.5,,,,18,,,,,,,16.5,,17,,,,,,,,,,12.4,,14,,,,,,,,,
6,6,022158614A,P,P,A,A,A,P,A,A,P,A,A,A,A,A,4,28.57142857142857,12.9,,,,18.5,,,,,,,14.5,,13,,,,,,,,,,8,,12,,,,,6,,,,
7,7,0230669412,A,A,A,A,A,P,A,P,A,P,P,A,A,A,4,28.57142857142857,,,,,11.5,,,,,,,14,,,,,,,,,,,,18.7,,19,,,,,,,18,,
8,8,022012681F,P,A,A,P,A,P,A,A,A,P,A,A,A,A,4,28.57142857142857,13.6,,,,17.5,,,,,,,12.5,,12,,,,,,,,,,13.3,,12,,,,,,,,,
9,9,022188714D,P,P,A,P,P,A,A,A,A,A,A,A,P,A,5,35.714285714285715,,,,,19.5,,,,,,,,,16,,,,,,,,,,12.3,,12,,,,,,,,,
10,10,0220415205,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,11.6,,,,20,,,,,,,15.5,,12,,,,,,,,,,10.3,,12,,,,,,,,,
11,11,0221933134,P,P,A,P,P,A,A,A,A,A,A,A,A,A,4,28.57142857142857,,,,,20,,,,,,,,,17,,,,,,,,,,17.6,,15,,,,,,,,,
12,12,022043375D,P,A,A,A,P,A,A,A,A,A,A,A,A,A,2,14.285714285714285,13.2,,,,19,,,,,,,15,,10,,,,,,,,,,8,,10,,,,,7,,,,
13,13,022041284E,P,A,A,P,A,P,A,A,P,A,A,P,A,A,5,35.714285714285715,15.1,,,,19,,,,,,13.8,14.5,,16,,,,,,,,,,8,,12,,,,,,,,,
14,14,0221823214,P,P,A,A,P,P,A,A,A,A,A,A,A,A,4,28.57142857142857,11.9,,,,16.5,,,,,,,13,,12,,,,,,,,,,12.1,,14,,,,,,,,,
15,15,0220291820,P,P,A,A,A,P,A,P,A,A,A,A,A,A,4,28.57142857142857,13.4,,,,17,,,,,,,13,,14,,,,,,,,,,13.6,,10,,,,,,,,,
16,16,0222086421,P,A,A,P,A,A,A,A,P,P,P,P,A,A,6,42.85714285714285,,,,,18.5,,,,,,,,,,,,,,,,,,,16.1,,18,,,,,,,,,
17,17,022122100C,P,P,A,A,A,A,A,A,A,A,A,A,A,A,2,14.285714285714285,12.2,,,,17.5,,,,,,,11.5,,10,,,,,,,,,,8,,12,,,,,,,,,
18,18,0191621038,P,A,A,A,A,A,A,A,A,A,A,A,A,A,1,7.142857142857142,ABS_EXAM_JUST,,,,15.5,,,,,8.3,,ABS_EXAM,,ABS_EXAM,,,ABS_EXAM,,,,,,,ABS_EXAM,,ABS_EXAM_JUST,,,,,ABS_EXAM,,,,
19,19,022029815F,P,P,A,A,P,A,A,A,P,P,A,A,A,A,5,35.714285714285715,18.6,,,,19.5,,,,,,,20,,20,,,,,,,,,,19.2,,20,,,,,,,,,
20,20,0221666404,P,A,A,A,A,P,A,A,A,A,A,A,A,A,2,14.285714285714285,13.6,4,,,19.5,,,,,7,,10,,11,,,,ABS_EXAM,,,,,,8,,9,,,,,,,,,
21,21,0211509258,P,A,A,A,P,A,A,A,A,A,A,P,A,A,3,21.428571428571427,,,,,16.5,,,,,,,10,,15,,,,,,,,,,7.8,,9,,,,,4,,,15.1,
22,22,0220224526,P,P,A,A,P,A,A,P,A,P,A,P,P,A,7,50.0,17.4,,,,19,,,,,,,19,,20,,,,,,,,,,17,,20,,,,,,,,,
